pod_name	container_name	node_name	complete	node_ms	image_ms	pod_ms	app_ms	total_ms	quality
a01-g2-wave1-01ky19qc-5bc8c94c6f-6rsjx	app	cn-wulanchabu.10.223.26.189	1	51000	2000	18000	NULL	69000	{"task_id": "asa-0jl462kb2vgiy954pp6a", "provider_id": "cn-wulanchabu.i-0jl7bdnyve2pz7h2555q", "node_task_id": "asa-0jl462kb2vgiy954pp6a", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "node_task_match": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true, "provision_node_name": "cn-wulanchabu.10.223.26.189", "node_attribution_method": "task-id", "node_attribution_confidence": "exact"}
a01-g2-wave1-01ky19qc-5bc8c94c6f-pclcs	app	cn-wulanchabu.10.223.26.187	1	NULL	NULL	1000	1000	2000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
a01-g2-wave1-01ky19qc-5bc8c94c6f-qw987	app	cn-wulanchabu.10.223.26.189	1	51000	4000	18000	NULL	69000	{"task_id": "asa-0jl462kb2vgiy954pp6a", "provider_id": "cn-wulanchabu.i-0jl7bdnyve2pz7h2555q", "node_task_id": "asa-0jl462kb2vgiy954pp6a", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "node_task_match": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true, "provision_node_name": "cn-wulanchabu.10.223.26.189", "node_attribution_method": "task-id", "node_attribution_confidence": "exact"}
a01-g2-wave1-01ky19qc-5bc8c94c6f-scrhh	app	cn-wulanchabu.10.217.82.90	1	NULL	NULL	1000	1000	2000	{"provider_id": "cn-wulanchabu.i-0jl178dr9ots1aus00rj", "node_task_id": "asa-0jl78xnpn1f8mdcqxvbk", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
a01-g2-wave1-01ky19qc-5bc8c94c6f-w8dch	app	cn-wulanchabu.10.223.26.187	1	NULL	NULL	1000	1000	2000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
