node_name	event_type	task_id	provider_id	event_time_ns	approximate
cn-wulanchabu.10.223.26.190	NODE_CREATED	asa-0jl10371l7ikehaezjsk	cn-wulanchabu.i-0jlh5d561rcwtb5b6ou4	1784606160000000000	0
cn-wulanchabu.10.223.26.190	ACK_PROVISION_TASK_UPDATED	asa-0jl10371l7ikehaezjsk	cn-wulanchabu.i-0jlh5d561rcwtb5b6ou4	1784606160796405175	1
cn-wulanchabu.10.223.26.190	NODE_NOT_READY	asa-0jl10371l7ikehaezjsk	cn-wulanchabu.i-0jlh5d561rcwtb5b6ou4	1784606160796413255	1
cn-wulanchabu.10.223.26.190	NODE_READY	asa-0jl10371l7ikehaezjsk	cn-wulanchabu.i-0jlh5d561rcwtb5b6ou4	1784606194000000000	0
