scope	metric_name	metric_value	unit	sample_count	details
app	elasticity	0.9672161004820059	score	3	{"p50_seconds": 1, "p95_seconds": 1, "slo_seconds": 30, "mean_seconds": 1, "p99_suppressed": true, "mean_overlap_seconds": 0, "p99_min_sample_count": 100, "mean_critical_path_seconds": 1}
image	elasticity	0.8751733190429475	score	1	{"p50_seconds": 4, "p95_seconds": 4, "slo_seconds": 30, "mean_seconds": 4, "p99_suppressed": true, "mean_overlap_seconds": 4, "p99_min_sample_count": 100, "mean_critical_path_seconds": 0}
pod	elasticity	0.9583911063476491	score	3	{"p50_seconds": 0, "p95_seconds": 3.5999999999999996, "slo_seconds": 30, "mean_seconds": 1.3333333333333333, "p99_suppressed": true, "mean_overlap_seconds": 1.3333333333333333, "p99_min_sample_count": 100, "mean_critical_path_seconds": 1.3333333333333333}
quality	clock_uncertainty_mean	0	ms	0	{"run_id": "01KY9527NF0WSZBBQGNRGJBZXD", "bottleneck": "pod", "composition": "diagnostic-product; layer durations are non-additive", "trace_count": 3, "layer_scores": {"app": 0.967216100482006, "pod": 0.9583911063476492, "image": 0.8751733190429475}, "complete_count": 3, "mean_overlap_ms": 1333.3333333333333, "bottleneck_basis": "mean critical-path contribution divided by layer elasticity", "total_elasticity": 0.8112605568209821, "exact_trace_count": 0, "invalid_order_count": 0, "mean_unattributed_ms": 0, "p99_min_sample_count": 100, "applicable_layer_count": 3, "clock_known_trace_count": 0, "mean_clock_uncertainty_ms": 0}
quality	invalid_order_count	0	count	3	{"run_id": "01KY9527NF0WSZBBQGNRGJBZXD", "bottleneck": "pod", "composition": "diagnostic-product; layer durations are non-additive", "trace_count": 3, "layer_scores": {"app": 0.967216100482006, "pod": 0.9583911063476492, "image": 0.8751733190429475}, "complete_count": 3, "mean_overlap_ms": 1333.3333333333333, "bottleneck_basis": "mean critical-path contribution divided by layer elasticity", "total_elasticity": 0.8112605568209821, "exact_trace_count": 0, "invalid_order_count": 0, "mean_unattributed_ms": 0, "p99_min_sample_count": 100, "applicable_layer_count": 3, "clock_known_trace_count": 0, "mean_clock_uncertainty_ms": 0}
quality	overlap_mean	1333.3333333333333	ms	3	{"run_id": "01KY9527NF0WSZBBQGNRGJBZXD", "bottleneck": "pod", "composition": "diagnostic-product; layer durations are non-additive", "trace_count": 3, "layer_scores": {"app": 0.967216100482006, "pod": 0.9583911063476492, "image": 0.8751733190429475}, "complete_count": 3, "mean_overlap_ms": 1333.3333333333333, "bottleneck_basis": "mean critical-path contribution divided by layer elasticity", "total_elasticity": 0.8112605568209821, "exact_trace_count": 0, "invalid_order_count": 0, "mean_unattributed_ms": 0, "p99_min_sample_count": 100, "applicable_layer_count": 3, "clock_known_trace_count": 0, "mean_clock_uncertainty_ms": 0}
quality	unattributed_mean	0	ms	3	{"run_id": "01KY9527NF0WSZBBQGNRGJBZXD", "bottleneck": "pod", "composition": "diagnostic-product; layer durations are non-additive", "trace_count": 3, "layer_scores": {"app": 0.967216100482006, "pod": 0.9583911063476492, "image": 0.8751733190429475}, "complete_count": 3, "mean_overlap_ms": 1333.3333333333333, "bottleneck_basis": "mean critical-path contribution divided by layer elasticity", "total_elasticity": 0.8112605568209821, "exact_trace_count": 0, "invalid_order_count": 0, "mean_unattributed_ms": 0, "p99_min_sample_count": 100, "applicable_layer_count": 3, "clock_known_trace_count": 0, "mean_clock_uncertainty_ms": 0}
total	bottleneck_score	0.5962373478258156	score	3	{"basis": "mean critical-path contribution divided by layer elasticity", "layer": "pod", "scores": {"app": 0.4430979057915318, "pod": 0.5962373478258156, "image": 0}}
total	elasticity	0.8112605568209821	score	3	{"run_id": "01KY9527NF0WSZBBQGNRGJBZXD", "bottleneck": "pod", "composition": "diagnostic-product; layer durations are non-additive", "trace_count": 3, "layer_scores": {"app": 0.967216100482006, "pod": 0.9583911063476492, "image": 0.8751733190429475}, "complete_count": 3, "mean_overlap_ms": 1333.3333333333333, "bottleneck_basis": "mean critical-path contribution divided by layer elasticity", "total_elasticity": 0.8112605568209821, "exact_trace_count": 0, "invalid_order_count": 0, "mean_unattributed_ms": 0, "p99_min_sample_count": 100, "applicable_layer_count": 3, "clock_known_trace_count": 0, "mean_clock_uncertainty_ms": 0}
