pod_name	container_name	node_name	complete	node_ms	image_ms	pod_ms	app_ms	total_ms	overlap_ms	unattributed_ms	exact_coverage	invalid_order_count	quality
hooke-smoke-app-01ky9527-5f44fb5ccf-mjhpr	app	cn-wulanchabu.10.170.108.83	1	NULL	NULL	0	1000	1000	0	0	0	0	{"event_count": 9, "app_end_event": "POD_READY", "timeline_rule": "union-with-latest-ending-active-layer-allocation", "trigger_event": "POD_CREATED", "exact_coverage": 0, "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "app_end_event_id": "01KY953YESWWAK8VJ8620CWVXW", "trigger_event_id": "01KY953X5KQ1YT9H9DG14QMYCE", "ingest_time_count": 9, "max_ingest_lag_ns": 1103625696, "source_time_count": 9, "pod_start_event_id": "01KY953X5KQ1YT9H9DG5ES8ARQ", "primary_layer_count": 2, "negative_latency_count": 0, "app_clock_uncertainty_ns": 0, "pod_clock_uncertainty_ns": 0, "exact_primary_layer_count": 0, "container_started_event_id": "01KY953XJS7VWX5JX5MF29CF5N", "app_clock_uncertainty_unknown": true, "container_started_approximate": true, "pod_clock_uncertainty_unknown": true, "app_endpoint_clock_uncertainty_ns": 0, "pod_endpoint_clock_uncertainty_ns": 0}
hooke-smoke-app-01ky9527-5f44fb5ccf-tsvjl	app	cn-wulanchabu.10.170.108.83	1	NULL	4000	4000	1000	5000	4000	0	0	0	{"event_count": 10, "app_end_event": "POD_READY", "timeline_rule": "union-with-latest-ending-active-layer-allocation", "trigger_event": "POD_CREATED", "exact_coverage": 0, "app_approximate": true, "image_end_event": "IMAGE_PULL_END", "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "app_end_event_id": "01KY952NJYF3YFC1RJ5EVTTZFZ", "trigger_event_id": "01KY952GD1CR9S9HHFTBJS5E6D", "image_approximate": true, "image_start_event": "IMAGE_PULL_START", "ingest_time_count": 10, "max_ingest_lag_ns": 1103773727, "source_time_count": 10, "image_end_event_id": "01KY952MKKWFZNCXGZA5QF7MX5", "pod_start_event_id": "01KY952GDGSGXJ5H8QC63AHWYB", "primary_layer_count": 3, "image_start_event_id": "01KY952GSE3S6T0ZJ0SQ9QZJZ7", "negative_latency_count": 0, "app_clock_uncertainty_ns": 0, "pod_clock_uncertainty_ns": 0, "exact_primary_layer_count": 0, "image_unpack_end_event_id": "", "container_started_event_id": "01KY952MNPAZJN7PHA6BGWFQWY", "image_clock_uncertainty_ns": 0, "image_unpack_start_event_id": "", "app_clock_uncertainty_unknown": true, "container_started_approximate": true, "pod_clock_uncertainty_unknown": true, "app_endpoint_clock_uncertainty_ns": 0, "pod_endpoint_clock_uncertainty_ns": 0}
hooke-smoke-app-01ky9527-5f44fb5ccf-vh6b2	app	cn-wulanchabu.10.170.108.83	1	NULL	NULL	0	1000	1000	0	0	0	0	{"event_count": 9, "app_end_event": "POD_READY", "timeline_rule": "union-with-latest-ending-active-layer-allocation", "trigger_event": "POD_CREATED", "exact_coverage": 0, "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "app_end_event_id": "01KY953A00G7N8E1P8EKW83SPT", "trigger_event_id": "01KY9538P7EJ0NQZ9YEDZHDKF6", "ingest_time_count": 9, "max_ingest_lag_ns": 1103908111, "source_time_count": 9, "pod_start_event_id": "01KY9538PZVBMPFJV6EARCDDZ7", "primary_layer_count": 2, "negative_latency_count": 0, "app_clock_uncertainty_ns": 0, "pod_clock_uncertainty_ns": 0, "exact_primary_layer_count": 0, "container_started_event_id": "01KY953949WGZY9Z74GW6SVMSM", "app_clock_uncertainty_unknown": true, "container_started_approximate": true, "pod_clock_uncertainty_unknown": true, "app_endpoint_clock_uncertainty_ns": 0, "pod_endpoint_clock_uncertainty_ns": 0}
