pod_uid	pod_name	node_name	trigger_time_ns	node_start_ns	node_ready_ns	image_pull_start_ns	image_pull_end_ns	image_unpack_end_ns	sync_pod_start_ns	pod_sandbox_start_ns	pod_sandbox_end_ns	container_started_ns	readiness_success_ns	node_clock_uncertainty_unknown	sandbox_clock_uncertainty_unknown
6e02d0a1-7af3-438f-b5bc-339bf807fd36	hooke-smoke-app-01ky9527-5f44fb5ccf-mjhpr	cn-wulanchabu.10.170.108.83	1784866272000000000	NULL	NULL	NULL	NULL	NULL	1784866272000000000	NULL	NULL	1784866272000000000	1784866273000000000	NULL	NULL
cc362ba5-7b54-4597-951a-3f31e961dd8f	hooke-smoke-app-01ky9527-5f44fb5ccf-tsvjl	cn-wulanchabu.10.170.108.83	1784866226000000000	NULL	NULL	1784866226000000000	1784866230000000000	NULL	1784866226000000000	NULL	NULL	1784866230000000000	1784866231000000000	NULL	NULL
062a7f29-6672-4225-aa11-efd4a1406585	hooke-smoke-app-01ky9527-5f44fb5ccf-vh6b2	cn-wulanchabu.10.170.108.83	1784866251000000000	NULL	NULL	NULL	NULL	NULL	1784866251000000000	NULL	NULL	1784866251000000000	1784866252000000000	NULL	NULL
