cluster_id	run_id	namespace	namespace_uid	workload	iteration	path	requested_replicas	clock_type	clock_source	source_host	boot_id	start_monotonic_ns	end_monotonic_ns	scale_rc	rollout_rc	evidence_rc	deployment_uid	replica_set_uid	replica_set_name	deployment_generation_before	deployment_generation_after	observed_generation	pod_uid	pod_name
c061d99ce379f4e37a9ff97e027a36ca6	01KY9527NF0WSZBBQGNRGJBZXD	hooke-experiments-scale-20260724t041003z	4cd7158b-dd2b-40c5-86e3-ead91a20e1ec	hooke-smoke-app-01ky9527	1	fixed	1	CLOCK_MONOTONIC	python-time.monotonic_ns	node134	205ac131-2f3d-4bab-a8ec-dcc624d5aa26	10840768354469	10846420271937	0	0	0	510f8c6f-54ca-46f8-bdb6-b2b38f91de82	594a81c5-4746-49f4-ad40-aa3b28c225cb	hooke-smoke-app-01ky9527-5f44fb5ccf	1	2	2	cc362ba5-7b54-4597-951a-3f31e961dd8f	hooke-smoke-app-01ky9527-5f44fb5ccf-tsvjl
c061d99ce379f4e37a9ff97e027a36ca6	01KY9527NF0WSZBBQGNRGJBZXD	hooke-experiments-scale-20260724t041003z	4cd7158b-dd2b-40c5-86e3-ead91a20e1ec	hooke-smoke-app-01ky9527	2	fixed	1	CLOCK_MONOTONIC	python-time.monotonic_ns	node134	205ac131-2f3d-4bab-a8ec-dcc624d5aa26	10865666253003	10867323120636	0	0	0	510f8c6f-54ca-46f8-bdb6-b2b38f91de82	594a81c5-4746-49f4-ad40-aa3b28c225cb	hooke-smoke-app-01ky9527-5f44fb5ccf	3	4	4	062a7f29-6672-4225-aa11-efd4a1406585	hooke-smoke-app-01ky9527-5f44fb5ccf-vh6b2
c061d99ce379f4e37a9ff97e027a36ca6	01KY9527NF0WSZBBQGNRGJBZXD	hooke-experiments-scale-20260724t041003z	4cd7158b-dd2b-40c5-86e3-ead91a20e1ec	hooke-smoke-app-01ky9527	3	fixed	1	CLOCK_MONOTONIC	python-time.monotonic_ns	node134	205ac131-2f3d-4bab-a8ec-dcc624d5aa26	10886607162673	10888277054038	0	0	0	510f8c6f-54ca-46f8-bdb6-b2b38f91de82	594a81c5-4746-49f4-ad40-aa3b28c225cb	hooke-smoke-app-01ky9527-5f44fb5ccf	5	6	6	6e02d0a1-7af3-438f-b5bc-339bf807fd36	hooke-smoke-app-01ky9527-5f44fb5ccf-mjhpr
