pod_name	container_name	node_name	complete	node_ms	image_ms	pod_ms	app_ms	total_ms	quality
a01-g2-wave1-01ky1drx-59879b948f-4k79l	app	cn-wulanchabu.10.223.26.191	1	48000	NULL	16000	1000	66000	{"task_id": "asa-0jla9ljoppka7fpi37ce", "provider_id": "cn-wulanchabu.i-0jl6c2xvt55ytpuxznvh", "node_task_id": "asa-0jla9ljoppka7fpi37ce", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "node_task_match": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true, "provision_node_name": "cn-wulanchabu.10.223.26.191", "node_attribution_method": "task-id", "node_attribution_confidence": "exact"}
a01-g2-wave1-01ky1drx-59879b948f-62zkx	app	cn-wulanchabu.10.223.26.187	1	NULL	NULL	NULL	1000	1000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
a01-g2-wave1-01ky1drx-59879b948f-64q5q	app	cn-wulanchabu.10.223.26.187	1	NULL	NULL	NULL	1000	1000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
a01-g2-wave1-01ky1drx-59879b948f-vnp6l	app	cn-wulanchabu.10.223.26.191	1	48000	4000	16000	1000	66000	{"task_id": "asa-0jla9ljoppka7fpi37ce", "provider_id": "cn-wulanchabu.i-0jl6c2xvt55ytpuxznvh", "node_task_id": "asa-0jla9ljoppka7fpi37ce", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "node_task_match": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true, "provision_node_name": "cn-wulanchabu.10.223.26.191", "node_attribution_method": "task-id", "node_attribution_confidence": "exact"}
a01-g2-wave1-01ky1drx-59879b948f-xkxpk	app	cn-wulanchabu.10.217.82.90	1	NULL	NULL	NULL	1000	1000	{"provider_id": "cn-wulanchabu.i-0jl178dr9ots1aus00rj", "node_task_id": "asa-0jl78xnpn1f8mdcqxvbk", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
