event_type	approximate	event_count
CONTAINER_STARTED	0	21
CONTAINER_STOPPED	0	10
DEPLOYMENT_DESIRED_REPLICAS_CHANGED	1	10
EXPERIMENT_STARTED	0	1
EXPERIMENT_STOPPED	0	1
IMAGE_PULL_END	1	21
IMAGE_PULL_START	1	13
NODE_CREATED	0	1
NODE_READY	0	2
POD_CREATED	0	6
POD_DELETED	0	6
POD_INITIALIZED	0	13
POD_READY	0	12
POD_SCHEDULED	0	6
POD_UNSCHEDULABLE	0	2
READINESS_PROBE_FIRST_SUCCESS	1	12
