event_type	approximate	event_count
CONTAINER_STARTED	0	3
CONTAINER_STOPPED	0	3
DEPLOYMENT_DESIRED_REPLICAS_CHANGED	1	7
EXPERIMENT_STARTED	0	1
EXPERIMENT_STOPPED	0	1
IMAGE_PULL_END	1	3
POD_CREATED	0	3
POD_DELETED	0	3
POD_INITIALIZED	0	3
POD_READY	0	3
POD_SCHEDULED	0	3
READINESS_PROBE_FIRST_SUCCESS	1	3
