pod_name	container_name	node_name	complete	node_ms	image_ms	pod_ms	app_ms	total_ms	quality
hooke-smoke-app-01kxz5d9-74c76f5c4f-g8n9z	app	cn-wulanchabu.10.176.70.124	1	NULL	NULL	1000	9000	10000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
hooke-smoke-app-01kxz5d9-74c76f5c4f-mhg9l	app	cn-wulanchabu.10.176.70.124	1	NULL	NULL	1000	10000	11000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
hooke-smoke-app-01kxz5d9-74c76f5c4f-wvrzx	app	cn-wulanchabu.10.176.70.124	1	NULL	NULL	1000	10000	11000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
