pod_name	container_name	node_name	complete	node_ms	image_ms	pod_ms	app_ms	total_ms	quality
a01-g3-wave1-01ky1m95-7d88b69b85-2szp5	app	cn-wulanchabu.10.217.82.97	1	49000	4000	17000	NULL	65000	{"task_id": "asa-0jl462kb2vgj0lzgk2vv", "provider_id": "cn-wulanchabu.i-0jl0t9474na3rfkvsk5o", "node_task_id": "asa-0jl462kb2vgj0lzgk2vv", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "node_task_match": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true, "provision_node_name": "cn-wulanchabu.10.217.82.97", "node_attribution_method": "task-id", "node_attribution_confidence": "exact"}
a01-g3-wave1-01ky1m95-7d88b69b85-8z28q	app	cn-wulanchabu.10.217.82.90	1	NULL	NULL	NULL	1000	1000	{"provider_id": "cn-wulanchabu.i-0jl178dr9ots1aus00rj", "node_task_id": "asa-0jl78xnpn1f8mdcqxvbk", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
a01-g3-wave1-01ky1m95-7d88b69b85-hf86n	app	cn-wulanchabu.10.223.26.187	1	NULL	NULL	NULL	1000	1000	{"provider_id": "cn-wulanchabu.i-0jleua341tvtyggtcpzb", "node_task_id": "asa-0jl10371l7ikd00ky1x1", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
a01-g3-wave1-01ky1m95-7d88b69b85-p7lt9	app	cn-wulanchabu.10.217.82.97	1	49000	4000	17000	NULL	65000	{"task_id": "asa-0jl462kb2vgj0lzgk2vv", "provider_id": "cn-wulanchabu.i-0jl0t9474na3rfkvsk5o", "node_task_id": "asa-0jl462kb2vgj0lzgk2vv", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "node_task_match": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true, "provision_node_name": "cn-wulanchabu.10.217.82.97", "node_attribution_method": "task-id", "node_attribution_confidence": "exact"}
a01-g3-wave1-01ky1m95-7d88b69b85-s7ntr	app	cn-wulanchabu.10.223.26.187	1	NULL	NULL	NULL	1000	1000	{"provider_id": "cn-wulanchabu.i-0jleua341tvtyggtcpzb", "node_task_id": "asa-0jl10371l7ikd00ky1x1", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
a01-g3-wave2-01ky1m95-848d9b4f5b-crzdg	app	cn-wulanchabu.10.223.26.196	1	47000	4000	17000	1000	67000	{"task_id": "asa-0jl0ticeqq156adb16tx", "provider_id": "cn-wulanchabu.i-0jl1vc8kxni2kdn1qbzz", "node_task_id": "asa-0jl0ticeqq156adb16tx", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "node_task_match": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true, "provision_node_name": "cn-wulanchabu.10.223.26.196", "node_attribution_method": "task-id", "node_attribution_confidence": "exact"}
