event_type	approximate	event_count
ACK_PROVISION_REQUESTED	1	3
ACK_PROVISION_TASK_UPDATED	1	10
CONTAINER_STARTED	0	6
CONTAINER_STOPPED	0	6
DEPLOYMENT_DESIRED_REPLICAS_CHANGED	1	6
EXPERIMENT_STARTED	0	1
EXPERIMENT_STOPPED	0	1
IMAGE_PULL_END	1	6
IMAGE_PULL_START	1	3
NODE_CREATED	0	4
NODE_NOT_READY	1	2
NODE_READY	0	4
POD_CREATED	0	6
POD_DELETED	0	6
POD_INITIALIZED	0	6
POD_READY	0	6
POD_SCHEDULED	0	6
POD_UNSCHEDULABLE	0	10
READINESS_PROBE_FIRST_SUCCESS	1	6
