event_type	approximate	event_count
ACK_PROVISION_REQUESTED	1	2
ACK_PROVISION_TASK_UPDATED	1	3
CONTAINER_STARTED	0	5
CONTAINER_STOPPED	0	5
DEPLOYMENT_DESIRED_REPLICAS_CHANGED	1	3
EXPERIMENT_STARTED	0	1
EXPERIMENT_STOPPED	0	1
IMAGE_PULL_END	1	5
IMAGE_PULL_START	1	2
NODE_CREATED	0	1
NODE_READY	0	2
POD_CREATED	0	5
POD_DELETED	0	5
POD_INITIALIZED	0	5
POD_READY	0	5
POD_SCHEDULED	0	5
POD_UNSCHEDULABLE	0	2
READINESS_PROBE_FIRST_SUCCESS	1	5
