pod_name	container_name	node_name	complete	node_ms	image_ms	pod_ms	app_ms	total_ms	quality
a01-g2-wave1-01ky18hd-696568db59-6hbm6	app	cn-wulanchabu.10.217.82.90	1	NULL	NULL	NULL	1000	1000	{"provider_id": "cn-wulanchabu.i-0jl178dr9ots1aus00rj", "node_task_id": "asa-0jl78xnpn1f8mdcqxvbk", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
a01-g2-wave1-01ky18hd-696568db59-f6nqb	app	cn-wulanchabu.10.223.26.187	1	NULL	NULL	NULL	1000	1000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
a01-g2-wave1-01ky18hd-696568db59-m9qxc	app	cn-wulanchabu.10.223.26.188	1	53000	1000	15000	NULL	69000	{"task_id": "asa-0jlcpv1j4aj2ypmdfvnu", "provider_id": "cn-wulanchabu.i-0jlhnuo11kc4qoymbvjn", "node_task_id": "asa-0jlcpv1j4aj2ypmdfvnu", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "node_task_match": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true, "provision_node_name": "cn-wulanchabu.10.223.26.188", "node_attribution_method": "task-id", "node_attribution_confidence": "exact"}
a01-g2-wave1-01ky18hd-696568db59-t66gk	app	cn-wulanchabu.10.223.26.188	1	53000	4000	15000	NULL	69000	{"task_id": "asa-0jlcpv1j4aj2ypmdfvnu", "provider_id": "cn-wulanchabu.i-0jlhnuo11kc4qoymbvjn", "node_task_id": "asa-0jlcpv1j4aj2ypmdfvnu", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "node_task_match": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true, "provision_node_name": "cn-wulanchabu.10.223.26.188", "node_attribution_method": "task-id", "node_attribution_confidence": "exact"}
a01-g2-wave1-01ky18hd-696568db59-z8w9c	app	cn-wulanchabu.10.223.26.187	1	NULL	NULL	NULL	1000	1000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
