node_name	event_type	task_id	provider_id	event_time_ns	approximate
cn-wulanchabu.10.217.82.95	NODE_CREATED	asa-0jl0ticeqq155yj4cuve	cn-wulanchabu.i-0jlf32wvkcuxehm8yh92	1784612213000000000	0
cn-wulanchabu.10.217.82.95	ACK_PROVISION_TASK_UPDATED	asa-0jl0ticeqq155yj4cuve	cn-wulanchabu.i-0jlf32wvkcuxehm8yh92	1784612213420910917	1
cn-wulanchabu.10.217.82.95	NODE_NOT_READY	asa-0jl0ticeqq155yj4cuve	cn-wulanchabu.i-0jlf32wvkcuxehm8yh92	1784612213420919610	1
cn-wulanchabu.10.217.82.95	NODE_READY	asa-0jl0ticeqq155yj4cuve	cn-wulanchabu.i-0jlf32wvkcuxehm8yh92	1784612252000000000	0
cn-wulanchabu.10.223.26.194	NODE_CREATED	asa-0jl78xnpn1f8pfuh8z1p	cn-wulanchabu.i-0jl87na1grqx1quhtc8x	1784612209000000000	0
cn-wulanchabu.10.223.26.194	ACK_PROVISION_TASK_UPDATED	asa-0jl78xnpn1f8pfuh8z1p	cn-wulanchabu.i-0jl87na1grqx1quhtc8x	1784612209844535138	1
cn-wulanchabu.10.223.26.194	NODE_NOT_READY	asa-0jl78xnpn1f8pfuh8z1p	cn-wulanchabu.i-0jl87na1grqx1quhtc8x	1784612209844543352	1
cn-wulanchabu.10.223.26.194	NODE_READY	asa-0jl78xnpn1f8pfuh8z1p	cn-wulanchabu.i-0jl87na1grqx1quhtc8x	1784612243000000000	0
