pod_name	container_name	node_name	complete	node_ms	image_ms	pod_ms	app_ms	total_ms	quality
a01-g3-wave1-01ky1j1f-6bcf4d8bd6-b87cf	app	cn-wulanchabu.10.217.82.90	1	NULL	NULL	NULL	1000	1000	{"provider_id": "cn-wulanchabu.i-0jl178dr9ots1aus00rj", "node_task_id": "asa-0jl78xnpn1f8mdcqxvbk", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
a01-g3-wave1-01ky1j1f-6bcf4d8bd6-d5sn9	app	cn-wulanchabu.10.223.26.187	1	NULL	NULL	NULL	1000	1000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
a01-g3-wave1-01ky1j1f-6bcf4d8bd6-krlr6	app	cn-wulanchabu.10.217.82.94	1	51000	3000	15000	1000	67000	{"task_id": "asa-0jl462kb2vgj0486jkxz", "provider_id": "cn-wulanchabu.i-0jl0g79c7odl4345wdz5", "node_task_id": "asa-0jl462kb2vgj0486jkxz", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "node_task_match": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true, "provision_node_name": "cn-wulanchabu.10.217.82.94", "node_attribution_method": "task-id", "node_attribution_confidence": "exact"}
a01-g3-wave1-01ky1j1f-6bcf4d8bd6-sdkbv	app	cn-wulanchabu.10.217.82.94	1	51000	NULL	16000	1000	68000	{"task_id": "asa-0jl462kb2vgj0486jkxz", "provider_id": "cn-wulanchabu.i-0jl0g79c7odl4345wdz5", "node_task_id": "asa-0jl462kb2vgj0486jkxz", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "node_task_match": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "provision_node_name": "cn-wulanchabu.10.217.82.94", "node_attribution_method": "task-id", "node_attribution_confidence": "exact"}
a01-g3-wave1-01ky1j1f-6bcf4d8bd6-wzbqr	app	cn-wulanchabu.10.223.26.187	1	NULL	NULL	NULL	1000	1000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
a01-g3-wave2-01ky1j1f-c4658c899-jldc6	app	cn-wulanchabu.10.223.26.193	1	49000	4000	15000	NULL	65000	{"task_id": "asa-0jl10371l7ikfmq2cpnn", "provider_id": "cn-wulanchabu.i-0jlivixatfcbzsqdctl9", "node_task_id": "asa-0jl10371l7ikfmq2cpnn", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "node_task_match": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true, "provision_node_name": "cn-wulanchabu.10.223.26.193", "node_attribution_method": "task-id", "node_attribution_confidence": "exact"}
