pod_name	container_name	node_name	complete	node_ms	image_ms	pod_ms	app_ms	total_ms	quality
a01-g2-wave1-01ky1apa-668c5cfd4c-7xjt2	app	cn-wulanchabu.10.217.82.91	1	48000	3000	15000	1000	65000	{"task_id": "asa-0jla9ljoppka6s14qjfq", "provider_id": "cn-wulanchabu.i-0jlivixatfcby5jfz50z", "node_task_id": "asa-0jla9ljoppka6s14qjfq", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "node_task_match": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true, "provision_node_name": "cn-wulanchabu.10.217.82.91", "node_attribution_method": "task-id", "node_attribution_confidence": "exact"}
a01-g2-wave1-01ky1apa-668c5cfd4c-9qnl9	app	cn-wulanchabu.10.223.26.187	1	NULL	NULL	1000	1000	2000	{"provider_id": "cn-wulanchabu.i-0jleua341tvtyggtcpzb", "node_task_id": "asa-0jl10371l7ikd00ky1x1", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
a01-g2-wave1-01ky1apa-668c5cfd4c-ckffx	app	cn-wulanchabu.10.217.82.90	1	NULL	NULL	1000	1000	2000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
a01-g2-wave1-01ky1apa-668c5cfd4c-h4sgb	app	cn-wulanchabu.10.223.26.187	1	NULL	NULL	1000	1000	2000	{"provider_id": "cn-wulanchabu.i-0jleua341tvtyggtcpzb", "node_task_id": "asa-0jl10371l7ikd00ky1x1", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
a01-g2-wave1-01ky1apa-668c5cfd4c-lqvdm	app	cn-wulanchabu.10.217.82.91	1	48000	2000	15000	1000	65000	{"task_id": "asa-0jla9ljoppka6s14qjfq", "provider_id": "cn-wulanchabu.i-0jlivixatfcby5jfz50z", "node_task_id": "asa-0jla9ljoppka6s14qjfq", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "node_task_match": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true, "provision_node_name": "cn-wulanchabu.10.217.82.91", "node_attribution_method": "task-id", "node_attribution_confidence": "exact"}
