pod_name	container_name	node_name	complete	node_ms	image_ms	pod_ms	app_ms	total_ms	quality
a01-g2-wave1-01ky16b9-65d4578-6hm4x	app	cn-wulanchabu.10.223.26.187	1	50000	3000	21000	1000	72000	{"task_id": "asa-0jl10371l7ikd00ky1x1", "provider_id": "cn-wulanchabu.i-0jleua341tvtyggtcpzb", "node_task_id": "asa-0jl10371l7ikd00ky1x1", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "node_task_match": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true, "provision_node_name": "cn-wulanchabu.10.223.26.187", "node_attribution_method": "task-id", "node_attribution_confidence": "exact"}
a01-g2-wave1-01ky16b9-65d4578-bs4gd	app	cn-wulanchabu.10.223.26.187	1	50000	5000	21000	1000	72000	{"task_id": "asa-0jl10371l7ikd00ky1x1", "provider_id": "cn-wulanchabu.i-0jleua341tvtyggtcpzb", "node_task_id": "asa-0jl10371l7ikd00ky1x1", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "node_task_match": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true, "provision_node_name": "cn-wulanchabu.10.223.26.187", "node_attribution_method": "task-id", "node_attribution_confidence": "exact"}
a01-g2-wave1-01ky16b9-65d4578-kbspm	app	cn-wulanchabu.10.223.26.185	1	NULL	3000	3000	1000	4000	{"provider_id": "cn-wulanchabu.i-0jl87na1grqwyocri69g", "node_task_id": "asa-0jl0ticeqq152w1e1r4q", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "image_approximate": true}
a01-g2-wave1-01ky16b9-65d4578-vpnn6	app	cn-wulanchabu.10.217.82.90	1	NULL	4000	4000	NULL	4000	{"provider_id": "cn-wulanchabu.i-0jl178dr9ots1aus00rj", "node_task_id": "asa-0jl78xnpn1f8mdcqxvbk", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "image_approximate": true}
a01-g2-wave1-01ky16b9-65d4578-zd52w	app	cn-wulanchabu.10.223.26.185	1	NULL	3000	3000	1000	4000	{"provider_id": "cn-wulanchabu.i-0jl87na1grqwyocri69g", "node_task_id": "asa-0jl0ticeqq152w1e1r4q", "app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "image_approximate": true}
