event_type	approximate	event_count
ACK_PROVISION_REQUESTED	1	1
ACK_PROVISION_TASK_UPDATED	1	4
CONTAINER_STARTED	0	1
CONTAINER_STOPPED	0	1
DEPLOYMENT_DESIRED_REPLICAS_CHANGED	1	3
EXPERIMENT_STARTED	0	1
EXPERIMENT_STOPPED	0	1
IMAGE_PULL_END	1	1
IMAGE_PULL_START	1	1
NODE_CREATED	0	2
NODE_NOT_READY	1	1
NODE_READY	0	2
POD_CREATED	0	1
POD_DELETED	0	1
POD_INITIALIZED	0	1
POD_READY	0	1
POD_SCHEDULED	0	1
POD_UNSCHEDULABLE	0	2
READINESS_PROBE_FIRST_SUCCESS	1	1
