pod_name	container_name	node_name	complete	node_ms	image_ms	pod_ms	app_ms	total_ms	quality
hooke-node-scale-smoke-01kxz5h6-695fd9bc48-bdmsm	app	cn-wulanchabu.10.176.70.124	1	NULL	NULL	1000	10000	11000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
hooke-node-scale-smoke-01kxz5h6-695fd9bc48-r925m	app	cn-wulanchabu.10.100.120.127	1	71000	3000	18000	1000	90000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true}
hooke-node-scale-smoke-01kxz5h6-695fd9bc48-wr6w6	app	cn-wulanchabu.10.100.120.127	1	71000	5000	18000	1000	90000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED", "node_approximate": true, "node_start_event": "POD_UNSCHEDULABLE", "image_approximate": true}
hooke-smoke-app-01kxz5h6-6b64c9bc4d-flxpm	app	cn-wulanchabu.10.176.70.124	1	NULL	NULL	1000	10000	11000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
hooke-smoke-app-01kxz5h6-6b64c9bc4d-mlc5c	app	cn-wulanchabu.10.176.70.124	1	NULL	NULL	1000	9000	10000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
hooke-smoke-app-01kxz5h6-6b64c9bc4d-nsdtg	app	cn-wulanchabu.10.176.70.124	1	NULL	NULL	1000	10000	11000	{"app_end_event": "READINESS_PROBE_FIRST_SUCCESS", "app_approximate": true, "pod_approximate": true, "pod_start_event": "POD_SCHEDULED"}
